year,CanESM5,E3SM,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM,UKESM1-0-LL
1937,-0.5158996967211321,-0.6139110074088115,-0.3167195523882922,-0.2506373295395332,-0.45665959923899974,-0.5036390313846806,-0.21577349412084368,-0.35653123186542907,-0.424502368406324,-0.413799949818768,-0.6378554109995617
1938,-0.4770501618933424,-0.5575938186378127,-0.2877141941230762,-0.21284929320239498,-0.39828591473370845,-0.46567524105939434,-0.20230623386011354,-0.32073561607337886,-0.38434359469930657,-0.37935097362192516,-0.5978965849270497
1939,-0.5140660515636235,-0.6148431763494923,-0.3146741274138932,-0.252847937688226,-0.45944463883647785,-0.5004220347832897,-0.21500090419722312,-0.3579420197002623,-0.4237750568124154,-0.41190505249888615,-0.633018478868719
1940,-0.5450993205819896,-0.6455300657290113,-0.34095627120708094,-0.25660471151341185,-0.46890833986049546,-0.5394871438858372,-0.23391193418916212,-0.37104047720744415,-0.45339133657110586,-0.4468539395715988,-0.6805630464329244
1941,-0.55990854920442,-0.6622407984903796,-0.35332824771092464,-0.2612566867856131,-0.47738643764727967,-0.5572788232543688,-0.24259377024687961,-0.3792038508746298,-0.4683377758696553,-0.46338786803569637,-0.7012248581286645
1942,-0.5774453043487167,-0.6929878804018601,-0.36653793086098263,-0.28804652919179385,-0.516683487835381,-0.5722914531317412,-0.24645896663392472,-0.4006782943684828,-0.48870419362226797,-0.47796884279543006,-0.714573954279253
1943,-0.5807298610887257,-0.6931870757784049,-0.36984344003413727,-0.28156871478694057,-0.5082294671523304,-0.5784131742112526,-0.25099003221262733,-0.39849606012067396,-0.49139299972084494,-0.48376981817272,-0.7229369902891505
1944,-0.5739016161432208,-0.6871735606159772,-0.36377756537858663,-0.2824175522539287,-0.5084441744124255,-0.5692612245559902,-0.24611521776827885,-0.3964987799532371,-0.4848119851328051,-0.4753323063961676,-0.7117910619907477
1945,-0.5157838378809338,-0.6103518988607217,-0.317184042847367,-0.24336846992408417,-0.4464889599131914,-0.5056914092854838,-0.21818322707151305,-0.35254347947962705,-0.42375589539438013,-0.4156911647839607,-0.6417040274604783
1946,-0.5054340264223783,-0.5931517539826223,-0.3096459020559814,-0.2250865990326541,-0.419429800488991,-0.49779887938376555,-0.218595267587668,-0.33949983961218344,-0.41307863170569403,-0.40954220557748633,-0.634884937701451
