year,CanESM5,E3SM,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM,UKESM1-0-LL
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,0.01062437853966855,0.00912166235030018,0.0027885668628348653,0.004444235005050291,0.013133486541735379,0.004309907924712628,0.0007058273572115355,0.007318620642288665,0.0025130000661421903,0.004279470077314648,0.0016279107558468675
1752,0.01668708100889138,0.014277319203381128,0.00435439533622458,0.006971118468232944,0.020766824398743944,0.006713282659405656,0.0010896264230738032,0.01149781449674711,0.0039151239541005065,0.006686489168598583,0.002424226883739583
1753,0.010847111539452281,0.00930825370073185,0.0028428960343370585,0.0045456091084827566,0.013448687852658903,0.004383542165379228,0.0007139562614452647,0.007480507407212747,0.0025581375157588057,0.0043652953692479846,0.001606220483124414
1754,-0.004315044157603809,-0.0037422101204351854,-0.0011548783579240635,-0.0017966258929299206,-0.005188308305505901,-0.0018121554108829624,-0.00030939032411162436,-0.002956631190980011,-0.001052649177888533,-0.0017657948132360907,-0.0008351311186516677
1755,0.0031002098002726464,0.0026571049934427104,0.0008031903005510793,0.0013382442148787352,0.003968706103580466,0.0011990752168056923,0.00018139655606311256,0.0021737871520485924,0.0007090752801965708,0.0012426470240159276,0.00026063255198496144
1756,0.010351969172689518,0.008876672068983932,0.0027050376941250356,0.004361012548327027,0.012925100186316124,0.004145336504268446,0.0006657818998200699,0.007161223795460567,0.0024249240823946278,0.004159681547243457,0.0013994667715567302
1757,-0.01181552363266107,-0.010291884047139793,-0.003186279124755248,-0.004924623602862645,-0.014082192597354937,-0.005016803307177978,-0.0008663810849273701,-0.008090800947616578,-0.002913358484834337,-0.004867555126742633,-0.002423151463876068
1758,-0.0037670807554838204,-0.003291115967481509,-0.0010334611117693362,-0.0015065973733420363,-0.004272550673819375,-0.0016928539989166935,-0.0003151739078097685,-0.002520580083116203,-0.0009679581094690012,-0.0015631850718782273,-0.0011105701871548038
1759,-0.005653259919561088,-0.004911511813594657,-0.0015201132200087647,-0.0023421894734615423,-0.006736129883788078,-0.002400684259513855,-0.000415858175650435,-0.0038612992278698882,-0.0013914413947809096,-0.00232054479795709,-0.0011808011854450434
1760,-0.014955449746046054,-0.013012592195306719,-0.004006526055601367,-0.006330072194789663,-0.018145766414644923,-0.006209107657491886,-0.0010375683386797622,-0.01032976848477793,-0.0036283992271543414,-0.006144273923869979,-0.0025552405239291365
1761,-0.011034145990903257,-0.009615247409062083,-0.0029818103400707854,-0.004577896118344471,-0.013077743950056203,-0.004716911375332866,-0.0008223590222131809,-0.00753615496764852,-0.002734213836749072,-0.004549942407088982,-0.002377436082385366
1762,-0.0033052721947088304,-0.002876824024985819,-0.0008960451251751669,-0.001346504817934975,-0.003854714205264481,-0.0014395837762022634,-0.00025801110941354663,-0.002235928474775009,-0.000828895006401216,-0.0013620506139336505,-0.0008183522835613286
1763,-0.0037349510139491615,-0.003264932346623922,-0.0010266097188539117,-0.0014889635112610919,-0.0042161586465915835,-0.0016870133984040886,-0.000315980802245942,-0.002494390720657075,-0.000963505145649142,-0.0015515398748263548,-0.001130664024505977
1764,0.018804904226364355,0.016035944249970152,0.004862580412746585,0.007934628094831149,0.023822022396571302,0.007392372480172035,0.0011596736763721752,0.013040829886817457,0.004333152681218512,0.007491512733479061,0.002164403827570646
